City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
355,hilo,19.7297,-155.09,22.84,99,100,2.57,US,1724859508
356,alesund,62.4723,6.1549,18.33,88,75,3.09,NO,1724859509
357,sao jose da coroa grande,-8.8978,-35.1478,26.59,65,29,6.55,BR,1724859511
358,morondava,-20.2833,44.2833,23.83,87,0,3.78,MG,1724859513
359,uribia,11.7139,-72.266,34.52,42,12,8.97,CO,1724859514
360,hagen,51.35,7.4667,30.1,51,2,1.79,DE,1724859515
361,namibe,-15.1961,12.1522,19.1,79,20,4.55,AO,1724859304
362,la ronge,55.1001,-105.2842,19.14,63,40,4.12,CA,1724859518
363,port douglas,-16.4833,145.4667,21.23,89,26,3.04,AU,1724859519
364,doffing,26.2745,-98.3858,31.51,75,0,3.09,US,1724859520
